,REF_INTERNAL,REF_TENDER,LOT_NUMBER,SUBLOT_NUMBER,PRODUCT,LOT_DESCRIPTION,LOT_DESCRIPTION_ORIGINAL,PRODUCT_REF_REQUESTED/SUPPLIER,TOTAL_QTY,YEARLY_QTY,UOM,TENDER_LOT_PRICE,TENDER_UNIT_PRICE,TENDER_CURRENCY,LOT_PRICE,WINNING_UNIT_PRICE,WINNING_PRICE_USD,WINNER,DQ_REASON
0,0001,458825-2018,8,1.0,drape-surgical-incision film,Insect film for surgical field  sterile  transparent  breathable  size 90cm / 60cm  incision part - 60cm / 60cm ,,,100.0,100,,,,BGN,9033.00,16.42,9.54,Phoenix Pharma,
1,0001,458825-2018,8,2.0,drape-surgical-incision film,Insect film for surgical field  sterile  transparent  breathable  size 60cm / 45cm  incision part 50cm / 45cm,,,150.0,150,,,,BGN,9033.00,16.42,9.54,Phoenix Pharma,
2,0001,458825-2018,8,3.0,drape-surgical-incision film,Antimicrobial incision foil for surgical field  sterile  size -66cm / 60cm / incision antimicrobial part 56cm X 60cm,,,200.0,200,,,,BGN,9033.00,16.42,9.54,Phoenix Pharma,
3,0001,458825-2018,8,4.0,drape-surgical-incision film,Antimicrobial incision foil for surgical field  sterile  size - 44cm / 35cm /  incision antimicrobial part 34cm x 35cm,,,100.0,100,,,,BGN,9033.00,16.42,9.54,Phoenix Pharma,
4,0001,458825-2018,7,1.1,drape-equipment-table cover,office table linen 140x190,,,100.0,100,,,,BGN,7200.00,,0.0,Sopharma,
5,0001,458825-2018,7,1.2,drape-equipment-mayo stand cover,tool bag for telescopic 80/145,,,100.0,100,,,,BGN,7200.00,,0.0,Sopharma,
6,0001,458825-2018,6,,bag-isolation,Insulating sterile bags for explanted organs  size 50cm / 50cm,,,200.0,200,,,,,,,,not awarded,no tender submitted
7,0001,458825-2018,9,,accessories-swab stick,Glycerin-impregnated and lemon-flavored swabs for oral hygiene  refreshing and sputum-stimulating,,,500.0,500,,,,BGN,85.00,0.17,0.1,Sopharma,
8,0001,458825-2018,13,1.0,accessories-spirometer filter,Antibacterial and antiviral filter for respiratory equipment,,,1000.0,1000,,,,,,,,not awarded,no tender submitted
9,0001,458825-2018,13,2.0,accessories-nose clip,Nosepiece for respiratory examination,,,200.0,200,,,,,,,,not awarded,no tender submitted
10,0002,RAKUS 2018/77K,110,,drape-surgical,Sterile surgical drape (absorbent and fluid-tight) with self-grinding hole 1 (cover not less than 75x80 cm with opening 15x6 cm),,,3000.0,1500,,,,EUR,1500.00,0.5,0.57,Barameda ,
11,0002,RAKUS 2018/77K,111,,drape-surgical,Surgical overlay kit for eye surgery (sterile  disposable  consisting of absorbent and impervious material) consisting of a tool table overlay 150cm x140cm and mesh 150cm x180cm with 2 pockets for liquid collection and self-grinding hole 5 x7cm,,,17000.0,8500,,,,EUR,96900.00,5.7,6.49,Barameda,
12,0002,RAKUS 2018/77K,112,,drape-surgical,Sterile surgical drape (absorbent and fluid-tight) with self-grinding aperture 1 (cover not less than 75x80 cm  with opening 5 x 7 cm),,,6000.0,3000,,,,EUR,2580.00,0.43,0.49,Medeksperts,
13,0002,RAKUS 2018/77K,115,,bag-fluid collection ,Sterile liquid collection bag 40 x 35cm with self-sharpening edge,,,12000.0,6000,,,,EUR,4560.00,0.38,0.43,OneMed,
14,0002,RAKUS 2018/77K,100,,accessories-eye spears,Tupferi Eye Surgery (LASIK PVA Spears) - sterile  triangular shape  PVA material  with handle  packed in 5 pieces  dry in thickness not more than 2mm  but wetted - no thicker than 10mm,,,5000.0,2500,PK/5,,,EUR,6100.00,1.22,1.39,DM Premium,
