,REF_INTERNAL,REF_NUMBER,COUNTRY,REGION,URL,AWARD_URL,PUBLICATION_DATE,DEADLINE,DURATION (MONTHS),TITLE,INSTITUTION,ADDRESS,CONTACT PERSON,TEL,EMAIL,TENDER_STATUS,REF_ORIGINAL
0,0001,458825-2018,Bulgaria,,http://www.lozenetz-hospital.bg/static.php?content_id=55&order_id=169,,23/10/18,23/11/18,12,Delivery Of Medical Devices And Consumables For The Needs Of The Hospital Lozenets,BOLNITSA „LOZENETS (831901901),,Inzh. Elena Dimitrova,+359 29607218,hq@uni-hospital.government.bg,awarded,
1,0002,RAKUS 2018/77K,Latvia,,https://www.aslimnica.lv/lv/iepirkumi/oftalmologijas-precu-un-materialu-piegade,,12/8/18,13/9/18,24,Supply Of Ophthalmic Goods And Materials,"SIA ""RIGAS AUSTRUMU KLINISKA UNIVERSITATES SLIMNICA""",,,+371 67326719,Pasts@Iub.Gov.Lv,awarded,
2,0003,RAKUS 2018/57K,Latvia,,https://www.aslimnica.lv/lv/iepirkumi/medicinisko-precu-un-materialu-piegade-operativas-kirurgiskas-darbibas-nodrosinasanai,,28/7/18,27/8/18,24,Medicīnisko preču un materiālu piegāde operatīvās ķirurģiskās darbības nodrošināšanai,Supply of medical supplies and materials for surgical surgical operation,,,+371 67326719,Pasts@Iub.Gov.Lv,awarded,
3,0004,382454,Lithuania,,https://pirkimai.eviesiejipirkimai.lt/app/rfq/publicpurchase_docs.asp?PID=400390,https://cvpp.eviesiejipirkimai.lt/Notice/Details/2018-647461,13/6/18,27/6/18,12,Apklotų operacijoms. sauskelnių. urologinių ir vakuuminio kraujo paėmimo iš venos priemonių pirkimas,Viešoji įstaiga Marijampolės ligoninė,165803154 Palangos g. 1  Marijampolė 68188,Inga Lenkutienė,+370 34350933,i.lenkutiene@marijampolesligonine.lt,awarded,
4,0005,507730-2018,Lithuania,,https://pirkimai.eviesiejipirkimai.lt/app/rfq/publicpurchase_docs.asp?PID=399468,,19/5/18,21/6/18,24,Apklotai,Viešoji įstaiga Respublikinė Šiaulių ligoninė,"245386220
V. Kudirkos g. 99
Šiauliai
LT-76231",Linas Stankus,+370 41525159,linas.stankus@siauliuligonine.lt,awarded,
5,0006,66360-2019,Sweden,,https://tendsign.com/doc.aspx?UniqueId=afwkgbhhcz&GoTo=Docs,,12/2/19,12/3/19,24,Regional anestesi och centrala infarter,Västra Götalandsregionen,232100-0131 Östergatan 1 Vänersborg 462 80 Sweden,Shilana Kanani,+,shilana.kanani@vgregion.se,open,RS 2018-04986
6,0007,64266-2019,Germany,Frankfurt,https://www.deutsche-evergabe.de/dashboards/dashboard_off/93774c13-778d-4f0c-afcf-db14d2459290,,11/2/19,12/3/19,36,Rahmenvereinbarung über die Lieferung von Produkten für die Urologie,Berufsgenossenschaftliche Unfallklinik Frankfurt am Main gGmbH,,Herr Rechtsanwalt Dr. Martin Büdenbender,+49 2212921940,Urologie@leinemann-partner.de,open,
7,0008,37332-2019,Norway,,https://permalink.mercell.com/98449224.aspx,,24/1/19,25/2/19,24,Surgical Drapes/Surgical Sheets and Surgical Clothing/Gowns — Helse Vest RHF,,916879067 Postboks 40 Vadsø 9811 Norway,Sigrid Elisabeth Kordt,+,elisabeth.kordt@sykehusinnkjop.no,open,2018/1067
8,0009,37791-2019,Sweden,VÄXJÖ,https://tendsign.com/doc.aspx?UniqueId=afmivaqtpp&GoTo=Docs,,25/1/19,4/3/19,24,Anestesi Intensivvård förbrukningsartiklar andningsvård II,Kronobergs läns landsting,Kronobergs läns landsting 232100-0065 Upphandlingsenheten Växjö 351 88 Sweden,Eva Edman,+,eva.edman@kronoberg.se,open,19RGK130
9,0010,CFT020-6509/17-CPSU09072D17JC,Malta,,https://www.etenders.gov.mt ,,8/2/19,28/2/19,36,Tender for the supply of Disposable Mapelson C Circuits 2litres,Central Procurement and Supplies Unit (MFH),,,+,,open,
